Organization,Sector,Geography,Size,Process,Function,AI Modality,Integration Depth,Maturity,Start Date,Intended Outcome,Observed Results,Status,Source Title,Source URL,Source Date
Klarna,Fintech / Retail Customer Service,Global,Enterprise,End-to-end customer service chat handling and resolution workflow,Customer Operations,Generative AI (LLM),Human-in-the-loop automation; straight-through for simple intents,Broad production,,Increase self-service containment; reduce agent load while maintaining CSAT,Reported ~2/3 of chats handled by AI (2024),Live,Klarna AI assistant results (press/earnings coverage),,2024
Verizon,Telecom,USA,Enterprise,"Contact center intent prediction, routing, and churn prevention",Customer Operations,Hybrid (ML + GenAI),Decision support & routing orchestration,Production,,"Reduce handle time, improve FCR, decrease churn",Predicts reasons for ~80% of annual calls; store visit time reduced by ~7 minutes (reported),Live,Verizon AI in customer operations (press),,2024-2025
National Grid,Utilities (Transmission/Distribution),USA/UK,Enterprise,Vegetation management planning embedded into grid maintenance workflow,Field Operations / Asset Management,Computer Vision + ML (satellite/drone imagery),Decision support for planning & scheduling,Production,,Prioritize trimming to reduce outages; optimize spend,Earlier fault detection; prioritized trimming at scale (reported),Live,National Grid AI vegetation management (case study),,2024-2025
Xcel Energy,Utilities (Generation/Transmission),USA,Enterprise,Drone-based asset inspections with computer vision integrated into inspection scheduling,Field Operations / Asset Inspection,Computer Vision + ML,Decision support; automated defect detection feeds work orders,Production,,Reduce inspection cycle time; increase early detection of faults,Faster inspections and earlier fault detection (reported),Live,Xcel drone/CV inspections (press/vendor),,2024
Bosch,Manufacturing,Global,Enterprise,Anomaly detection across assembly lines in multiple plants,Manufacturing / Quality,Predictive ML,Decision support & alerts embedded in MES/quality systems,Broad production,,"Reduce scrap, improve OEE, increase throughput","Deployed across ~2,000 lines in 50+ plants (reported)",Live,Bosch AI in manufacturing lines (case),,2024
Walmart,Retail,USA,Enterprise,PIM/catalog item setup and content creation within merchandising workflow,Merchandising / Catalog Operations,Generative AI (LLM),Assistive drafting + classification integrated to PIM,Production,,Accelerate item onboarding; improve content quality and conversion,Automated portions of content and classification at scale (reported),Live,Walmart genAI for item setup (press),,2024
Unilever,CPG / Supply Chain,Global,Enterprise,"Collaborative planning, forecasting & replenishment (CPFR) with retailers",Supply Chain Planning,Hybrid (ML + GenAI),Decision support & workflow orchestration,Production rollout,,Increase on-shelf availability; improve forecast accuracy,Pilot reached ~98% on-shelf availability; rolling to 30 customers (reported),Scaling,Unilever CPFR AI program (press),,2024-2025
GEICO,Insurance,USA,Enterprise,Review of auto repair estimates in claims control tower,Claims / Loss Control,Computer Vision + ML,Decision support with adjuster review,Production,,Detect leakage; speed approvals and accurate payouts,AI Review adopted for estimate checks (reported),Live,GEICO adopts AI Review (press/vendor),,2024
UnitedHealth (anti-pattern),Health Insurance,USA,Enterprise,Post-acute care medical necessity adjudication workflow,Utilization Management,Predictive ML,Decision automation with human appeal process,Production (disputed),,Consistency and speed in determinations,Litigation alleges systemic denials via algorithm; governance/risk failure,Litigation/under scrutiny,Class actions on algorithmic denials (press/legal filings),,2024-2025
Air Canada (anti-pattern),Airline,Canada,Enterprise,Public-facing chatbot tied to refund policy process,Customer Communications,Generative AI (LLM),Assistive public chatbot without strict guardrails,Production (public),,"Provide fast, accurate policy guidance",Court held airline liable for chatbot misinformation,Policy/controls revised after ruling,Air Canada chatbot court decision (press),,2024
Kaiser Permanente,Healthcare Provider,USA,Enterprise,Inbound patient message classification and routing within EHR workflow,Clinical Operations / Patient Access,ML/NLP,Decision support & queue routing,Production,,Reduce inbox burden; speed response; route to right team,Labeled ~75% of ~5M messages over 5 months; 1.5M resolved regionally (reported),Live,KP message triage AI (press/research),,2024-2025
Mayo Clinic,Healthcare Provider,USA,Enterprise,Drafting replies to patient messages in EHR inbox,Clinical Operations / Patient Communications,Generative AI (LLM),Assistive drafting with clinician review,Pilot / Early production,,Save clinician time; maintain quality,Reported ~30 seconds saved per message (early findings),Expanding,Mayo genAI inbox drafting (press/research),,2024
Northwestern Medicine,Healthcare Provider,USA,Enterprise,Ambient scribe integrated with Epic across enterprise,Clinical Documentation,GenAI + ASR,Human-in-the-loop documentation automation,Production rollout,,Reduce documentation time; improve note quality,System-wide deployment underway (reported),Rolling out,Northwestern ambient scribe rollout (press),,2024-2025
MUSC Health,Healthcare Provider,USA,Mid-market / Enterprise,Ambient scribe for outpatient documentation,Clinical Documentation,GenAI + ASR,Human-in-the-loop documentation automation,Production,,Reduce after-hours EHR time; improve provider experience,Reported ~20% reduction in after-hours EHR time,Live,MUSC ambient scribe (press),,2024
Providence,Healthcare Provider,USA,Enterprise,AI clinical assistant within care team workflows,Clinical Operations,Generative AI (LLM),Assistive decision support,Production / Study,,Reduce burnout; improve throughput and documentation,Qualitative burnout reduction and workflow relief (study),Live,Providence AI assistant evaluation (press/research),,2024
PNC Bank,Banking (Legal Ops),USA,Enterprise,Legal bill review workflow modernization,Legal / Procurement (Spend Mgmt),ML + NLP,Decision support with policy rules,Production,,Faster review; higher compliance; reduced leakage,Improved throughput and compliance (reported),Live,PNC LegalVIEW BillAnalyzer case,,2024
ING,Banking (Compliance),EU,Enterprise,KYC/CDD monitoring and outreach,Risk & Compliance,ML/NLP,Workflow orchestration with case mgmt,Production,,Improve risk coverage and efficiency,Consolidated outreach; automation gains (reported),Live,ING KYC case (vendor case study),,2024
HSBC,Banking (Financial Crime),Global,Enterprise,Transaction monitoring (Dynamic Risk Assessment) re-platform,Risk & Compliance (AML),ML on cloud platform,Decision support with analyst feedback loop,Production,,Increase true positives; reduce false positives,Reported 2–4x more true positives with fewer false positives,Live,HSBC AML modernization (cloud partner case),,2024
JPMorgan (anti-pattern),Banking (Surveillance/Compliance),USA,Enterprise,Trade surveillance coverage and communications controls,Risk & Compliance,Rules + ML (surveillance),Decision support (gaps identified),Production,,Regulatory compliance,Fines totaling ~$348M for surveillance/control gaps,Sanctioned,Regulator actions on surveillance gaps (news release),,2024
United Airlines,Airlines,USA,Enterprise,Enterprise genAI platform for internal/customer communications,Operations & Customer Communications,Generative AI (multi-model),Platform + governance; assistive and orchestration,Production,,Faster communications; unify data/ML backbone,Multiple models in production; data hub (“Mars” platform),Live,United enterprise genAI platform (press),,2024-2025
United Airlines (IRROPs comms),Airlines,USA,Enterprise,Proactive weather delay updates (radar + AI summaries via SMS/app),Customer Communications / Operations,Generative AI (LLM),Decision support + assistive drafting,Production,,Reduce passenger uncertainty; improve NPS during disruptions,Proactive AI-aided delay comms live,Live,United delay comms with AI (press),,2024
American Airlines,Airlines,USA,Enterprise,Forecasting and rebooking integrated into operations,Network Operations / Revenue Mgmt,Predictive ML,Decision support embedded in ops tools,Production,,Improve rebooking options and schedule forecasting,ML supports rebooking and forecasting at scale,Live,AA forecasting & rebooking ML (press),,2024
Vodafone,Telecom,EU/Global,Enterprise,TOBi customer agent upgraded with genAI,Customer Operations,Generative AI (LLM),Assistive + partial automation with escalation,Production,,Improve first contact resolution and reduce costs,GenAI makeover announced/live (reported),Live,Vodafone TOBi genAI (press),,2024
TELUS,Telecom,Canada,Enterprise,Contact center analytics for intent/sentiment with CCAI,Customer Operations Analytics,ML/NLP,Decision support feeding QA/ops insights,Production,,Improve efficiency and insights across 60k calls/day,Analyzes ~60k calls/day; improved efficiency (reported),Live,TELUS Google CCAI analytics (press),,2024
A&O Shearman,Legal Services,Global,Enterprise,"Legal workflows (contracts, antitrust, regulatory) with agentic tools",Legal Delivery,GenAI (Agentic),Assistive + multi-step orchestration; human review,Production rollout,,Accelerate complex legal tasks while maintaining quality,Firm and partner platform announced live deployments,Rolling out,A&O Shearman + Harvey agentic tools (press),,2025
,,,,,,,,,,,,,,,
