Organization,Sector,Geography,Size,Process,Function,AI_Modality,Integration_Depth,Data_Posture,Controls,Vendor_vs_Inhouse,Maturity,Start_Date,Intended_Outcome,Observed_Results,Change_Mgmt,Risk_Compliance,Cost_Benefit,Status,Pattern_Tags,Source_Platform,Source_Citation,Cluster,Pattern_Rep,Outcome_Clarity,Transferability,Implementation_Complete,Strategic_Significance,Source_Credibility,Weighted_Score,Rank_Justification,Outcome,Human_Capability,AI_System,Interaction_Pattern,Pattern_Type,Strategic_Cluster,Pattern_Description,Business_Context,Success_Factor_or_Failure_Mode,
Kaiser Permanente,Healthcare Provider,USA,Enterprise,Inbound patient message classification and routing within EHR workflow,Clinical Operations / Patient Access,ML/NLP,Decision support & queue routing,EHR patient messages,Clinical oversight,Vendor + EHR integration,Production,2024,"Reduce inbox burden, speed response, route to right team",Labeled ~75% of ~5M messages over 5 months; 1.5M resolved regionally,Clinical staff training,HIPAA and patient privacy,Clinical efficiency improvement,Live,"Healthcare workflow integration, large scale message processing",ChatGPT,KP message triage coverage,,,,,,,,,,,,,,,,,,,"['', '']"
Mayo Clinic,Healthcare Provider,USA,Enterprise,Drafting replies to patient messages in EHR inbox,Clinical Operations / Patient Communications,Generative AI (LLM),Assistive drafting with clinician review,EHR patient data,Clinician review and approval,Vendor + EHR integration,Pilot / Early production,2024,"Save clinician time, maintain quality",Reported ~30 seconds saved per message,Physician training and workflow adaptation,HIPAA compliance,Time savings for clinical staff,Expanding,"Healthcare HITL, measured time savings",ChatGPT,Mayo inbox drafting coverage,,,,,,,,,,,,,,,,,,,"['', '']"
UnitedHealth (anti-pattern),Health Insurance,USA,Enterprise,Post-acute care medical necessity adjudication workflow,Utilization Management,Predictive ML,Decision automation with human appeal process,Claims and medical data,Appeal process oversight,Vendor + in-house,Production (disputed),2023,Consistency and speed in determinations,Litigation alleges systemic denials via algorithm; governance/risk failure,Staff training on algorithmic decisions,Healthcare regulation,Cost reduction vs. patient outcomes,Litigation/under scrutiny,"Opaque automation, healthcare policy decisions, legal liability",ChatGPT,Class action litigation coverage,Automation Without Governance,5.0,4.0,5.0,4.0,4.0,4.0,4.25,Perfect example of healthcare AI governance failure with legal consequences representing critical anti-pattern for policy automation,,,,,,,,,,"['', '']"
Air Canada (anti-pattern),Airline,Canada,Enterprise,Public-facing chatbot tied to refund policy process,Customer Communications,Generative AI (LLM),Assistive public chatbot without strict guardrails,Customer policy data,Minimal oversight,Vendor chatbot,Production (public),2023,"Provide fast, accurate policy guidance",Court held airline liable for chatbot misinformation,Minimal change management,Consumer protection regulation,Legal liability costs,Policy/controls revised after ruling,"Uncontrolled public-facing GenAI, legal liability",ChatGPT,Air Canada court decision,Automation Without Governance,4.0,4.0,5.0,4.0,3.0,4.0,4.05,Classic chatbot liability case with legal precedent representing public-facing AI risks without proper controls,,,,,,,,,,"['', '']"
BankUnited,Banking,USA,Mid-market,SMB banking customer experience enhancement,Customer Operations,Traditional ML + Cloud,Single-department,Customer banking data,Banking oversight,AWS partnership,Success,2023,Enhanced customer and employee satisfaction for SMB banking services,Enhanced customer satisfaction metrics,Staff training on new tools,Banking regulation compliance,Customer experience improvement,Success,"Mid-market agility, cloud-first approach",Claude,AWS case study,Mid-Market Agility Winners,3.0,3.0,4.0,3.0,3.0,4.0,3.25,Mid-market banking AI representing SMB advantage in AI adoption with AWS partnership model,Success,ADAPT,LEARN,Dynamic_Calibration,Synergy,C3_Operational_Process_Integration,Real-time adjustment of AI customer analytics based on market feedback,"Mid-market banking requiring agile response to customer behavior, competitive changes, regulatory updates",Human banking expertise dynamically calibrating AI customer insights,"['', '']"
McKinsey,Professional Services,Global,Enterprise,Internal AI operations across consulting functions,Knowledge Management,Generative AI,Cross-departmental,Client and research data,Professional oversight,In-house + vendor,Success,2023,"Accelerate research, knowledge management, client deliverables",500000+ monthly AI interactions across operations,Enterprise-wide training,Client confidentiality,Productivity improvement across functions,Success,"Knowledge work automation, enterprise scale",Claude,McKinsey AI coverage,Platform-First Enterprises,3.0,4.0,3.0,3.0,3.0,3.0,3.15,Professional services internal AI adoption (500K+ interactions) representing knowledge work transformation but limited transferability,Success,ADAPT,CONVERSE,Action_Forcing_Function,Synergy,C4_Conversational_Execution,AI driving concrete deliverable production across consulting functions,"Knowledge work automation requiring conversion of AI capabilities into client deliverables, measurable outcomes",Human consulting expertise using AI to force action and deliverable completion,"['', '']"
PwC,Professional Services,Global,Enterprise,AI transformation across audit tax and consulting,Process Automation,Generative AI + Traditional ML,Cross-departmental,Client and regulatory data,Professional oversight,In-house + vendor,Success,2023,"Improve efficiency, reduce processing time",50% reduction in pharmaceutical safety narrative processing time,Comprehensive training program,Professional services regulation,Process efficiency gains,Success,"Professional services transformation, measurable outcomes",Claude,PwC AI transformation case,,,,,,,,,,Success,META-MONITOR,AUTOMATE,Coherence_Monitoring,Synergy,C1_Foundational_Reality_Testing,Auditors monitoring AI document processing for consistency and accuracy,"Professional services automation requiring verification of AI output quality, regulatory compliance, client standards",Human professional expertise monitoring AI rule application for consistency and accuracy,"['', '']"
Manufacturing Company (Undisclosed),Manufacturing,Global,Mid-market,Invoice processing automation,Process Automation,RPA + Traditional ML,Single-department,Structured invoice data,Approval workflows,Vendor implementation,Success,2024,"Reduce manual processing, improve accuracy",4+ FTE reduction in invoice processing operations,Staff retraining and role change,Financial controls,Labor cost savings,Success,"Mid-market automation, clear ROI",Claude,RPA vendor case study,,,,,,,,,,,,,,,,,,,"['', '']"
European Automaker (Undisclosed),Automotive,Europe,Enterprise,R&D process acceleration for vehicle development,R&D Innovation,Computer Vision + Traditional ML,Cross-departmental,Engineering and design data,R&D oversight,In-house + vendor,Success,2023,Accelerate product development cycles,30% reduction in time-to-production for new vehicle development,Engineering team training,Automotive safety standards,Development cycle improvement,Success,"R&D acceleration, cross-departmental",Claude,BCG consulting report,,,,,,,,,,,,,,,,,,,"['', '']"
Telstra,Telecommunications,Australia,Enterprise,Customer service efficiency improvement,Customer Operations,Generative AI,Single-department,Customer interaction data,Service oversight,Vendor + in-house,Success,2024,"Improve customer satisfaction, reduce follow-up",20% reduction in customer follow-up contact requirements,Customer service training,Privacy regulation,Customer experience improvement,Success,"Customer service automation, measurable outcomes",Claude,Microsoft customer story,Customer Service Automation,3.0,4.0,4.0,3.0,3.0,3.0,3.40,Customer service efficiency improvement (20% follow-up reduction) supporting customer automation patterns,Success,CONTEXT-SOCIAL,CONVERSE,Audience_Harmonization,Synergy,C4_Conversational_Execution,Tailoring AI customer service responses for different customer segments and contexts,"Customer service optimization requiring adaptation to diverse customer needs, service contexts, interaction preferences",Human customer service expertise directing AI response adaptation for different audience segments,"['', '']"
Lumen Technologies,Telecommunications,USA,Enterprise,Sales preparation automation,Sales Support,Generative AI,Single-department,Sales and proposal data,Sales oversight,Microsoft Copilot,Success,2024,"Reduce sales prep time, improve proposal quality",94% reduction in sales preparation time,Sales team training,Data privacy,Sales efficiency improvement,Success,"Sales automation, dramatic time savings",Claude+Perplexity,Microsoft case study,Single-Process Masters,3.0,5.0,4.0,3.0,3.0,4.0,3.65,Sales automation with dramatic productivity gain (94% time reduction) representing focused process transformation,Success,CAUSAL-MODEL,AUTOMATE,Logical_Verification,Synergy,C1_Foundational_Reality_Testing,Sales experts verifying AI proposal generation logic against business development principles,"Sales automation requiring verification of AI output quality, business logic, client relevance",Human sales expertise verifying AI proposal logic and business relevance,"['', '']"
Singapore Education Ministry,Government,Singapore,Enterprise,Personalized learning systems deployment,Education Innovation,Traditional ML + Generative AI,Cross-departmental,Student learning data,Educational oversight,Government + vendor,Success,2023,"Improve student outcomes, personalize learning",Personalized learning systems deployed nationally,Teacher training program,Education privacy,National education improvement,Success,Government-scale education transformation,Claude,Education AI case study,Government Process Modernization,3.0,3.0,3.0,3.0,4.0,3.0,3.15,National education AI representing government-scale transformation but limited documentation transferability,,,,,,,,,,"['', '']"
Healthcare Appointment Systems,Multiple US Health Systems,Healthcare,Mixed,AI-powered appointment facilitation,Process Automation,Generative AI,Single-department,Patient scheduling data,Healthcare oversight,Vendor solutions,Success,2023,"Improve scheduling efficiency, patient experience",67% adoption rate for AI-powered appointment facilitation,Staff training on new systems,HIPAA compliance,Patient experience improvement,Success,"Healthcare automation, high adoption rate",Claude,Government health data,,,,,,,,,,Success,ADAPT,AUTOMATE,Process_Tuning,Synergy,C3_Operational_Process_Integration,Healthcare administrators improving AI scheduling rules based on patient and provider feedback,"Healthcare operations requiring adaptation to patient needs, provider workflows, operational constraints",Human healthcare operations expertise tuning AI scheduling processes,"['', '']"
IBM Watson Oncology (anti-pattern),IBM + Memorial Sloan Kettering,Healthcare,Enterprise,Clinical decision support for oncology,Clinical Decision Support,Traditional ML + NLP,Cross-departmental,Medical literature data,Clinical oversight,IBM platform,Failure,2017,Improve cancer treatment recommendations,$4B+ investment failed due to training bias and overpromising,Extensive physician training,FDA and medical standards,$4B+ investment loss,Failure,"Single-institution bias, unrealistic expectations",Claude,IBM Watson failure analysis,Premature Deployment Failures,5.0,5.0,4.0,4.0,4.0,5.0,4.45,$4B+ healthcare AI failure representing bias amplification and unrealistic expectations - ultimate cautionary tale,,,,,,,,,,"['', '']"
McDonald's AI Drive-Thru (anti-pattern),McDonald's,Quick Service Restaurant,Enterprise,Voice-powered drive-thru ordering,Customer Operations,NLP + Speech Recognition,Cross-departmental,Customer order data,Operational oversight,Vendor solution,Failure,2021,"Improve order accuracy, reduce wait times",Voice recognition accuracy problems led to customer experience issues,Staff training on AI system,Food service regulation,Customer satisfaction decline,Failure,"Voice recognition accuracy, customer experience degradation",Press coverage,https://www.cnbc.com/2024/06/17/mcdonalds-to-end-ibm-ai-drive-thru-test.html; https://www.nytimes.com/2024/06/21/business/mcdonalds-ai-drive-thru-white-castle.html,,,,,,,,,,,,,,,,,,,"['', '']"
NYC MyCity Chatbot (anti-pattern),New York City Government,Government,Enterprise,Public services information chatbot,Public Services,Generative AI,Cross-departmental,City services data,Minimal oversight,Vendor chatbot,Failure,2024,Improve citizen access to information,Misinformation crisis requiring public correction and policy changes,Minimal training,Government transparency,Public trust damage,Failure,"Government misinformation, public trust crisis",Press coverage,https://www.reuters.com/technology/new-york-city-defends-ai-chatbot-that-advised-entrepreneurs-break-laws-2024-04-04/; https://themarkup.org/news/2024/03/29/nycs-ai-chatbot-tells-businesses-to-break-the-law,Automation Without Governance,4.0,4.0,4.0,4.0,3.0,4.0,3.85,Government AI misinformation crisis representing public sector AI risks and accountability requirements,,,,,,,,,,"['', '']"
U.S. Defense Logistics Agency (DLA),Government/Defense,USA,Enterprise,Vendor risk screening and supply chain management,Supply Chain Management,AI-powered Business Decision Analytics (BDA),Predictive intelligence,Vendor and regulatory data,Defense oversight,Government + vendor,Production,2023,"Proactively identify high-risk vendors, prevent counterfeit parts",43000 vendors analyzed; 19000 flagged as high-risk; successful fraud prosecution,Staff training on new screening tools,Defense regulation compliance,Supply chain security improvement,Success,"Government-scale supply chain, predictive risk management",Gemini,Defense supply chain sources,,,,,,,,,,,,,,,,,,,"['', '']"
Concierge Services Provider (Undisclosed),Customer Service,Global,Enterprise,Contact center automation and channel shift,Customer Service,GenAI + Conversational AI,Workflow orchestration,Customer service data,SLA monitoring,Vendor solution,Production,2024,"Achieve 99% SLA, shift interaction channels",99% SLA achieved; 85% shift from phone to chat; 30% faster onboarding,Contact center training,Customer data privacy,Operational efficiency improvement,Success,"Channel transformation, SLA achievement",Gemini,Contact center case study,,,,,,,,,,,,,,,,,,,"['', '']"
Netflix,Entertainment,Global,Enterprise,Personalized content recommendation system,Customer Experience,Machine Learning,Core business function,Viewing and user behavior data,Content oversight,In-house platform,Production,2016,"Improve user engagement, reduce churn",75-80% of viewing from recommendations; $1B annual savings from churn reduction,Content team training,Content regulation,$1B annual churn reduction savings,Success,"Core business model integration, engagement optimization",Peer-reviewed,https://dl.acm.org/doi/10.1145/2843948,,,,,,,,,,,,,,,,,,,"['', '']"
Charity: water,Non-profit,Global,Enterprise,Facebook advertising optimization for fundraising,Fundraising,AI optimization,Marketing automation,Donor and campaign data,Campaign oversight,Facebook AI tools,Production,2024,Increase conversions to monthly giving program,32% increase in conversions to monthly giving program,Marketing team training,Donor privacy,Fundraising efficiency improvement,Success,"Non-profit AI adoption, measurable fundraising impact",Gemini,Non-profit AI case,,,,,,,,,,,,,,,,,,,"['', '']"
Amazon (anti-pattern),Technology,USA,Enterprise,Resume screening and hiring automation,Human Resources,Machine Learning,Hiring workflow automation,Historical hiring data,HR oversight,In-house development,Failure,2014,"Automate resume screening, improve hiring efficiency",Project abandoned after 4 years due to gender bias amplification,HR training on AI bias,Employment law compliance,4-year investment loss,Failure,"Historical bias amplification, gender discrimination",Gemini,Amazon hiring bias coverage,,,,,,,,,,,,,,,,,,,"['', '']"
Klarna (Failure Perspective),Fintech,Global,Enterprise,Premature customer service workforce replacement,Customer Service,AI automation,Workforce replacement,Customer service data,Limited oversight,AI system,Mixed,2022,Achieve cost savings through workforce reduction,700 staff replaced before technology fully proven; mixed outcomes,Limited change management,Customer protection regulation,Premature cost optimization,Mixed,"Premature automation, workforce displacement",Gemini,Klarna workforce reduction,,,,,,,,,,,,,,,,,,,"['', '']"
Microsoft (1000+ customer stories),Technology,Global,Enterprise,Cross-departmental productivity enhancement,Multiple,Generative AI/Copilot,Cross-departmental,Office productivity data,Enterprise oversight,Microsoft platform,Production,2024,Improve productivity across business functions,Multiple productivity gains across 1000+ customer implementations,Enterprise-wide training,Enterprise compliance,Productivity improvement,Success,"Platform-wide adoption, multiple success stories",Perplexity,Microsoft customer stories,,,,,,,,,,,,,,,,,,,"['', '']"
Air India,Aviation,India,Enterprise,Customer service automation via AI virtual assistant,Customer Service,AI Virtual Assistant,Single-department,Customer query data,Service oversight,Vendor solution,Production,2023,"Automate customer queries, improve response time",97% automation of 4M+ customer queries,Customer service training,Aviation regulation,Customer service efficiency,Success,"Aviation customer service, high automation rate",Perplexity,Air India AI assistant,Customer Service Automation,3.0,4.0,3.0,3.0,3.0,3.0,3.15,Large-scale customer service automation (97% of 4M+ queries) representing aviation sector transformation,Success,META-MONITOR,CONVERSE,Interaction_Calibration,Synergy,C3_Operational_Process_Integration,Customer service managers calibrating AI response patterns for aviation industry context,"Aviation customer service requiring adaptation to industry-specific needs, regulatory requirements, cultural context",Human aviation service expertise calibrating AI interaction patterns for industry context,"['', '']"
PGP Glass,Glass Manufacturing,India,Mid-market,Operations productivity enhancement,Operations,GenAI/Copilot,Single-department,Production data,Operational oversight,Microsoft Copilot,Production,2024,"Improve daily productivity, reduce manual tasks",30-40 min/day productivity gain per worker,Worker training on AI tools,Manufacturing standards,Daily productivity improvement,Success,"Mid-market manufacturing, daily productivity gains",Perplexity,PGP Glass case study,,,,,,,,,,,,,,,,,,,"['', '']"
Sandvik,Manufacturing,Global,Enterprise,Manufacturing documentation and productivity,Manufacturing/Documentation,Manufacturing Copilot,Single-department,Manufacturing data,Production oversight,Vendor copilot,Production,2023,"Improve manufacturing productivity, enhance documentation",30% productivity improvement in manufacturing processes,Manufacturing team training,Industrial standards,Manufacturing efficiency,Success,"Manufacturing productivity, documentation improvement",Perplexity,Sandvik manufacturing case,Manufacturing Quality Control,3.0,4.0,3.0,3.0,3.0,3.0,3.15,Manufacturing productivity improvement (30%) representing sector-specific productivity gains,,,,,,,,,,"['', '']"
Uber,Transportation,Global,Enterprise,Operations and finance process automation,Operations/Finance,RPA,Cross-departmental,Operational and financial data,Process oversight,RPA platform,Production,2021,"Automate processes, reduce operational costs","$10M annual savings, 100+ processes automated",Cross-functional training,Transportation regulation,$10M annual savings,Success,"Cross-departmental RPA, significant cost savings",Perplexity,Uber RPA implementation,,,,,,,,,,,,,,,,,,,"['', '']"
Spotify,Entertainment/Music,Global,Enterprise,Operations and content optimization,Operations/Content,AI/ML,Cross-departmental,Music and user data,Content oversight,In-house + vendor,Production,2022,"Optimize content delivery, improve operational efficiency",Multiple operational improvements across content and operations,Cross-functional training,Music licensing regulation,Operational efficiency improvement,Success,"Content optimization, operational efficiency",Perplexity,Spotify AI operations,Platform-First Enterprises,3.0,3.0,3.0,3.0,4.0,3.0,3.15,Entertainment industry AI transformation representing content optimization and operational efficiency but limited documentation,Success,ADAPT,LEARN,Dynamic_Calibration,Synergy,C3_Operational_Process_Integration,Content teams adjusting AI recommendation algorithms based on user engagement and business objectives,"Entertainment platform requiring balance of user engagement, content diversity, business objectives",Human content expertise dynamically calibrating AI recommendation sensitivity,"['', '']"
Deloitte,Professional Services,Global,Enterprise,Knowledge management and process automation,Knowledge Management,RPA/Chatbots,Cross-departmental,Client and knowledge data,Professional oversight,In-house + vendor,Production,2022,"Improve knowledge sharing, automate routine processes",Various process improvements across consulting functions,Professional training,Professional services regulation,Process efficiency improvement,Success,"Professional services automation, knowledge management",Perplexity,Deloitte RPA implementation,Professional Services Platform,3.0,3.0,3.0,3.0,3.0,3.0,3.00,Professional services RPA adoption representing cross-departmental automation but limited strategic impact documentation,,,,,,,,,,"['', '']"
Tokyo Metropolitan Government,Government,Japan,Government,Administrative operations enhancement,Operations/Administration,ChatGPT,Cross-departmental,Administrative data,Government oversight,OpenAI platform,Production,2024,"Improve administrative efficiency, enhance citizen services",Improved operational efficiency in government functions,Government employee training,Government transparency,Administrative efficiency improvement,Success,"Government ChatGPT adoption, operational efficiency",Perplexity,Tokyo government AI,,,,,,,,,,,,,,,,,,,"['', '']"
Aldi (ALDIgo),Retail,Germany,Enterprise,Automated checkout experience,Retail Operations,Computer Vision,Single-department,Product recognition data,Store oversight,Computer vision platform,Production,2023,"Reduce checkout times, improve customer experience",Automated checkout experience deployed,Store staff training,Retail regulation,Customer experience improvement,Success,"Retail automation, checkout innovation",Perplexity,Aldi checkout automation,,,,,,,,,,,,,,,,,,,"['', '']"
Tesco (GetGo),Retail,UK,Enterprise,Checkout time reduction through automation,Retail Operations,Computer Vision,Single-department,Product recognition data,Store oversight,Computer vision platform,Production,2023,"Reduce checkout times, improve throughput",Reduced checkout times significantly,Store staff training,Retail regulation,Checkout efficiency improvement,Success,"Retail checkout automation, time reduction",Perplexity,Tesco GetGo stores,,,,,,,,,,,,,,,,,,,"['', '']"
Urban Company,Technology Services,India,Mid-market,Customer service query resolution,Customer Service,Azure OpenAI/Chatbots,Single-department,Customer service data,Service oversight,Azure platform,Production,2023,"Improve query resolution, increase satisfaction","85-90% query resolution rate, 5% satisfaction increase",Customer service training,Service regulation,Customer satisfaction improvement,Success,"Service automation, high resolution rate",Perplexity,Urban Company AI implementation,Mid-Market Agility Winners,3.0,4.0,3.0,3.0,3.0,3.0,3.15,Mid-market service automation (85-90% resolution) representing customer service transformation in emerging markets,,,,,,,,,,"['', '']"
Groupama,Insurance,France,Enterprise,Customer service inquiry automation,Customer Service,Azure OpenAI/Virtual Assistant,Single-department,Customer inquiry data,Service oversight,Azure platform,Production,2024,"Automate customer inquiries, improve efficiency",80% success rate for customer inquiries,Customer service training,Insurance regulation,Customer service efficiency,Success,"Insurance automation, high success rate",Perplexity,Groupama virtual assistant,,,,,,,,,,,,,,,,,,,"['', '']"
Manufacturing Company (RPA),Manufacturing,Global,Enterprise,Manufacturing operations automation,Manufacturing/Operations,RPA/Manufacturing,Cross-departmental,Manufacturing data,Production oversight,RPA platform,Production,2022,"Reduce operating costs, improve efficiency",40% reduction in operating costs,Manufacturing training,Industrial standards,40% cost reduction,Success,"Manufacturing RPA, significant cost reduction",Perplexity,Manufacturing RPA case,Single-Process Masters,4.0,4.0,4.0,3.0,3.0,3.0,3.65,Mid-market manufacturing automation with clear ROI (4+ FTE reduction) representing focused departmental AI success,,,,,,,,,,"['', '']"
